time,k_eff,phi_avg,burnup_avg,U235,U238,Pu239,Xe135,Sm149,fresh_pebbles_added,pebbles_discharged
0.0,0.9895362814209663,3.6229344223855867e+18,0.0,7.137240148383517e+18,1.495588347619954e+20,0.0,0.0,0.0,0,0
1.0,1.4849000000000048,3.6229344223855867e+18,3453.30814629996,7.137240148383486e+18,1.4955883476199535e+20,18432.0,1e+17,5000000000000000.0,325,325
2.0,1.4773010000000029,3.6229344223855867e+18,6906.61629259992,7.137240148383455e+18,1.4955883476199532e+20,36864.0,1.5e+17,9950000000000000.0,325,325
3.0,1.473452990000001,3.6229344223855867e+18,10359.92443889988,7.137240148383425e+18,1.495588347619953e+20,55296.0,1.75e+17,1.48505e+16,325,325
4.0,1.4714809600999994,3.6229344223855867e+18,13813.23258519984,7.137240148383394e+18,1.4955883476199526e+20,73728.0,1.875e+17,1.9701995e+16,325,325
5.0,1.4695099004989975,3.6229344223855867e+18,17266.5407314998,7.137240148383363e+18,1.4955883476199522e+20,92160.0,2e+17,2.450497505e+16,325,325
6.0,1.4694148014940056,3.6229344223855867e+18,20719.848877799763,7.137240148383332e+18,1.495588347619952e+20,110592.0,2e+17,2.92599252995e+16,325,325
7.0,1.4693206534790637,3.6229344223855867e+18,24173.157024099724,7.137240148383302e+18,1.4955883476199516e+20,129024.0,2e+17,3.3967326046505e+16,325,325
8.0,1.4692274469442712,3.6229344223855867e+18,27626.465170399686,7.137240148383271e+18,1.4955883476199512e+20,147456.0,2e+17,3.862765278603995e+16,325,325
9.0,1.4691351724748267,3.6229344223855867e+18,31079.773316699648,7.13724014838324e+18,1.495588347619951e+20,165888.0,2e+17,4.324137625817955e+16,325,325
10.0,1.4690438207500762,3.6229344223855867e+18,34533.08146299961,7.137240148383209e+18,1.4955883476199506e+20,184320.0,2e+17,4.780896249559776e+16,325,325
11.0,1.4689533825425736,3.6229344223855867e+18,37986.38960929957,7.137240148383179e+18,1.4955883476199503e+20,202752.0,2e+17,5.2330872870641784e+16,325,325
12.0,1.468863848717146,3.6229344223855867e+18,41439.69775559953,7.137240148383148e+18,1.49558834761995e+20,221184.0,2e+17,5.680756414193537e+16,325,325
13.0,1.4687752102299725,3.6229344223855867e+18,44893.005901899494,7.137240148383117e+18,1.4955883476199496e+20,239616.0,2e+17,6.123948850051602e+16,325,325
14.0,1.468687458127671,3.6229344223855867e+18,48346.314048199456,7.137240148383087e+18,1.4955883476199493e+20,258048.0,2e+17,6.5627093615510856e+16,325,325
15.0,1.4686005835463922,3.6229344223855867e+18,51799.62219449942,7.137240148383056e+18,1.495588347619949e+20,276480.0,2e+17,6.997082267935574e+16,325,325
16.0,1.4685145777109263,3.6229344223855867e+18,55252.93034079938,7.137240148383025e+18,1.4955883476199486e+20,294912.0,2e+17,7.427111445256219e+16,325,325
17.0,1.4684294319338151,3.6229344223855867e+18,58706.23848709934,7.137240148382994e+18,1.4955883476199483e+20,313344.0,2e+17,7.852840330803658e+16,325,325
18.0,1.468345137614475,3.6229344223855867e+18,62159.5466333993,7.137240148382964e+18,1.495588347619948e+20,331776.0,2e+17,8.274311927495621e+16,325,325
19.0,1.4682616862383278,3.6229344223855867e+18,65612.85477969926,7.137240148382933e+18,1.4955883476199476e+20,350208.0,2e+17,8.691568808220664e+16,325,325
20.0,1.4681790693759424,3.6229344223855867e+18,69066.16292599922,7.137240148382902e+18,1.4955883476199473e+20,368640.0,2e+17,9.104653120138458e+16,325,325
21.0,1.4680972786821813,3.6229344223855867e+18,72519.47107229917,7.137240148382872e+18,1.495588347619947e+20,387072.0,2e+17,9.513606588937074e+16,325,325
22.0,1.4680163058953573,3.6229344223855867e+18,75972.77921859913,7.137240148382841e+18,1.4955883476199467e+20,405504.0,2e+17,9.918470523047702e+16,325,325
23.0,1.4679361428364015,3.6229344223855867e+18,79426.08736489908,7.13724014838281e+18,1.4955883476199463e+20,423936.0,2e+17,1.0319285817817226e+17,325,325
24.0,1.467856781408035,3.6229344223855867e+18,82879.39551119904,7.137240148382779e+18,1.495588347619946e+20,442368.0,2e+17,1.0716092959639053e+17,325,325
25.0,1.4677782135939526,3.6229344223855867e+18,86332.70365749899,7.137240148382749e+18,1.4955883476199457e+20,460800.0,2e+17,1.1108932030042662e+17,325,325
26.0,1.4677004314580109,3.6229344223855867e+18,89786.01180379895,7.137240148382718e+18,1.4955883476199453e+20,479232.0,2e+17,1.1497842709742235e+17,325,325
27.0,1.4676234271434285,3.6229344223855867e+18,93239.3199500989,7.137240148382687e+18,1.495588347619945e+20,497664.0,2e+17,1.1882864282644813e+17,325,325
28.0,1.467547192871992,3.6229344223855867e+18,96692.62809639885,7.137240148382657e+18,1.4955883476199447e+20,516096.0,2e+17,1.2264035639818365e+17,325,325
29.0,1.46747172094327,3.6229344223855867e+18,100145.93624269881,7.137240148382626e+18,1.4955883476199444e+20,534528.0,2e+17,1.2641395283420181e+17,325,325
30.0,1.467397003733835,3.6229344223855867e+18,103599.24438899876,7.137240148382595e+18,1.495588347619944e+20,552960.0,2e+17,1.3014981330585979e+17,325,325
31.0,1.4673230336964944,3.6229344223855867e+18,107052.55253529872,7.137240148382564e+18,1.4955883476199437e+20,571392.0,2e+17,1.338483151728012e+17,325,325
32.0,1.467249803359527,3.6229344223855867e+18,110505.86068159867,7.137240148382534e+18,1.4955883476199434e+20,589824.0,2e+17,1.3750983202107318e+17,325,325
33.0,1.4671773053259294,3.6229344223855867e+18,113959.16882789863,7.137240148382503e+18,1.495588347619943e+20,608256.0,2e+17,1.4113473370086245e+17,325,325
34.0,1.467105532272668,3.6229344223855867e+18,117412.47697419858,7.137240148382472e+18,1.4955883476199427e+20,626688.0,2e+17,1.4472338636385382e+17,325,325
35.0,1.467034476949939,3.6229344223855867e+18,120865.78512049853,7.137240148382441e+18,1.4955883476199424e+20,645120.0,2e+17,1.482761525002153e+17,325,325
36.0,1.4669641321804372,3.6229344223855867e+18,124319.09326679849,7.137240148382411e+18,1.495588347619942e+20,663552.0,2e+17,1.5179339097521315e+17,325,325
37.0,1.4668944908586303,3.6229344223855867e+18,127772.40141309844,7.13724014838238e+18,1.4955883476199417e+20,681984.0,2e+17,1.5527545706546102e+17,325,325
38.0,1.4668255459500417,3.6229344223855867e+18,131225.7095593984,7.137240148382349e+18,1.4955883476199414e+20,700416.0,2e+17,1.587227024948064e+17,325,325
39.0,1.4667572904905386,3.6229344223855867e+18,134679.01770569838,7.137240148382319e+18,1.495588347619941e+20,718848.0,2e+17,1.6213547546985834e+17,325,325
40.0,1.4666897175856308,3.6229344223855867e+18,138132.32585199835,7.137240148382288e+18,1.4955883476199408e+20,737280.0,2e+17,1.6551412071515974e+17,325,325
41.0,1.466622820409772,3.6229344223855867e+18,141585.63399829832,7.137240148382257e+18,1.4955883476199404e+20,755712.0,2e+17,1.6885897950800816e+17,325,325
42.0,1.4665565922056718,3.6229344223855867e+18,145038.9421445983,7.137240148382226e+18,1.49558834761994e+20,774144.0,2e+17,1.7217038971292806e+17,325,325
43.0,1.4664910262836128,3.6229344223855867e+18,148492.25029089826,7.137240148382196e+18,1.4955883476199398e+20,792576.0,2e+17,1.754486858157988e+17,325,325
44.0,1.466426116020774,3.6229344223855867e+18,151945.55843719823,7.137240148382165e+18,1.4955883476199395e+20,811008.0,2e+17,1.786941989576408e+17,325,325
45.0,1.4663618548605637,3.6229344223855867e+18,155398.8665834982,7.137240148382134e+18,1.495588347619939e+20,829440.0,2e+17,1.819072569680644e+17,325,325
46.0,1.4662982363119554,3.6229344223855867e+18,158852.17472979816,7.137240148382104e+18,1.4955883476199388e+20,847872.0,2e+17,1.8508818439838374e+17,325,325
47.0,1.4662352539488337,3.6229344223855867e+18,162305.48287609813,7.137240148382073e+18,1.4955883476199385e+20,866304.0,2e+17,1.882373025543999e+17,325,325
48.0,1.4661729014093428,3.6229344223855867e+18,165758.7910223981,7.137240148382042e+18,1.495588347619938e+20,884736.0,2e+17,1.913549295288559e+17,325,325
49.0,1.4661111723952465,3.6229344223855867e+18,169212.09916869807,7.137240148382011e+18,1.4955883476199378e+20,903168.0,2e+17,1.9444138023356736e+17,325,325
50.0,1.4660500606712914,3.6229344223855867e+18,172665.40731499804,7.137240148381981e+18,1.4955883476199375e+20,921600.0,2e+17,1.9749696643123168e+17,325,325
51.0,1.4659895600645758,3.6229344223855867e+18,176118.715461298,7.13724014838195e+18,1.495588347619937e+20,940032.0,2e+17,2.0052199676691936e+17,325,325
52.0,1.4659296644639275,3.6229344223855867e+18,179572.02360759798,7.137240148381919e+18,1.4955883476199368e+20,958464.0,2e+17,2.0351677679925018e+17,325,325
53.0,1.4658703678192855,3.6229344223855867e+18,183025.33175389795,7.137240148381889e+18,1.4955883476199365e+20,976896.0,2e+17,2.0648160903125766e+17,325,325
54.0,1.4658116641410899,3.6229344223855867e+18,186478.63990019792,7.137240148381858e+18,1.4955883476199362e+20,995328.0,2e+17,2.094167929409451e+17,325,325
55.0,1.4657535474996761,3.6229344223855867e+18,189931.94804649788,7.137240148381827e+18,1.495588347619936e+20,1013760.0,2e+17,2.1232262501153565e+17,325,325
56.0,1.4656960120246767,3.6229344223855867e+18,193385.25619279785,7.137240148381796e+18,1.4955883476199355e+20,1032192.0,2e+17,2.151993987614203e+17,325,325
57.0,1.4656390519044273,3.6229344223855867e+18,196838.56433909782,7.137240148381766e+18,1.4955883476199352e+20,1050624.0,2e+17,2.1804740477380608e+17,325,325
58.0,1.46558266138538,3.6229344223855867e+18,200291.8724853978,7.137240148381735e+18,1.495588347619935e+20,1069056.0,2e+17,2.2086693072606803e+17,325,325
59.0,1.4655268347715236,3.6229344223855867e+18,203745.18063169776,7.137240148381704e+18,1.4955883476199345e+20,1087488.0,2e+17,2.2365826141880736e+17,325,325
60.0,1.4654715664238056,3.6229344223855867e+18,207198.48877799773,7.137240148381673e+18,1.4955883476199342e+20,1105920.0,2e+17,2.264216788046193e+17,325,325
61.0,1.4654168507595648,3.6229344223855867e+18,210651.7969242977,7.137240148381643e+18,1.495588347619934e+20,1124352.0,2e+17,2.291574620165731e+17,325,325
62.0,1.465362682251966,3.6229344223855867e+18,214105.10507059767,7.137240148381612e+18,1.4955883476199336e+20,1142784.0,2e+17,2.3186588739640736e+17,325,325
63.0,1.4653090554294437,3.6229344223855867e+18,217558.41321689764,7.137240148381581e+18,1.4955883476199332e+20,1161216.0,2e+17,2.345472285224433e+17,325,325
64.0,1.4652559648751464,3.6229344223855867e+18,221011.7213631976,7.137240148381551e+18,1.495588347619933e+20,1179648.0,2e+17,2.3720175623721885e+17,325,325
65.0,1.465203405226392,3.6229344223855867e+18,224465.02950949757,7.13724014838152e+18,1.4955883476199326e+20,1198080.0,2e+17,2.3982973867484666e+17,325,325
66.0,1.4651513711741253,3.6229344223855867e+18,227918.33765579754,7.137240148381489e+18,1.4955883476199322e+20,1216512.0,2e+17,2.4243144128809818e+17,325,325
67.0,1.465099857462381,3.6229344223855867e+18,231371.6458020975,7.137240148381458e+18,1.495588347619932e+20,1234944.0,2e+17,2.4500712687521718e+17,325,325
68.0,1.4650488588877544,3.6229344223855867e+18,234824.95394839748,7.137240148381428e+18,1.4955883476199316e+20,1253376.0,2e+17,2.4755705560646502e+17,325,325
69.0,1.4649983702988738,3.6229344223855867e+18,238278.26209469745,7.137240148381397e+18,1.4955883476199313e+20,1271808.0,2e+17,2.500814850504004e+17,325,325
70.0,1.464948386595882,3.6229344223855867e+18,241731.57024099742,7.137240148381366e+18,1.495588347619931e+20,1290240.0,2e+17,2.525806701998964e+17,325,325
71.0,1.46489890272992,3.6229344223855867e+18,245184.8783872974,7.137240148381336e+18,1.4955883476199306e+20,1308672.0,2e+17,2.550548634978974e+17,325,325
