time,k_eff,phi_avg,burnup_avg,U235,U238,Pu239,Xe135,Sm149,fresh_pebbles_added,pebbles_discharged
0.0,0.9970356389212206,5.660835034977479e+17,0.0,7.137252628825272e+18,1.495590962860982e+20,0.0,0.0,0.0,0,0
1.0,1.4849000000000048,5.660835034977479e+17,539.5784543325527,7.137252628825242e+18,1.4955909628609816e+20,18432.0,1e+17,5000000000000000.0,325,325
2.0,1.4773010000000029,5.660835034977479e+17,1079.1569086651054,7.137252628825211e+18,1.4955909628609813e+20,36864.0,1.5e+17,9950000000000000.0,325,325
3.0,1.473452990000001,5.660835034977479e+17,1618.7353629976583,7.13725262882518e+18,1.495590962860981e+20,55296.0,1.75e+17,1.48505e+16,325,325
4.0,1.4714809600999994,5.660835034977479e+17,2158.313817330211,7.137252628825149e+18,1.4955909628609806e+20,73728.0,1.875e+17,1.9701995e+16,325,325
5.0,1.4695099004989975,5.660835034977479e+17,2697.8922716627635,7.137252628825119e+18,1.4955909628609803e+20,92160.0,2e+17,2.450497505e+16,325,325
6.0,1.4694148014940056,5.660835034977479e+17,3237.470725995316,7.137252628825088e+18,1.49559096286098e+20,110592.0,2e+17,2.92599252995e+16,325,325
7.0,1.4693206534790637,5.660835034977479e+17,3777.0491803278687,7.137252628825057e+18,1.4955909628609797e+20,129024.0,2e+17,3.3967326046505e+16,325,325
8.0,1.4692274469442712,5.660835034977479e+17,4316.627634660422,7.137252628825027e+18,1.4955909628609793e+20,147456.0,2e+17,3.862765278603995e+16,325,325
9.0,1.4691351724748267,5.660835034977479e+17,4856.206088992974,7.137252628824996e+18,1.495590962860979e+20,165888.0,2e+17,4.324137625817955e+16,325,325
10.0,1.4690438207500762,5.660835034977479e+17,5395.784543325527,7.137252628824965e+18,1.4955909628609787e+20,184320.0,2e+17,4.780896249559776e+16,325,325
11.0,1.4689533825425736,5.660835034977479e+17,5935.36299765808,7.137252628824934e+18,1.4955909628609783e+20,202752.0,2e+17,5.2330872870641784e+16,325,325
12.0,1.468863848717146,5.660835034977479e+17,6474.941451990632,7.137252628824904e+18,1.495590962860978e+20,221184.0,2e+17,5.680756414193537e+16,325,325
13.0,1.4687752102299725,5.660835034977479e+17,7014.519906323185,7.137252628824873e+18,1.4955909628609777e+20,239616.0,2e+17,6.123948850051602e+16,325,325
14.0,1.468687458127671,5.660835034977479e+17,7554.098360655737,7.137252628824842e+18,1.4955909628609774e+20,258048.0,2e+17,6.5627093615510856e+16,325,325
15.0,1.4686005835463922,5.660835034977479e+17,8093.67681498829,7.137252628824812e+18,1.495590962860977e+20,276480.0,2e+17,6.997082267935574e+16,325,325
16.0,1.4685145777109263,5.660835034977479e+17,8633.255269320844,7.137252628824781e+18,1.4955909628609767e+20,294912.0,2e+17,7.427111445256219e+16,325,325
17.0,1.4684294319338151,5.660835034977479e+17,9172.833723653397,7.13725262882475e+18,1.4955909628609764e+20,313344.0,2e+17,7.852840330803658e+16,325,325
18.0,1.468345137614475,5.660835034977479e+17,9712.41217798595,7.137252628824719e+18,1.495590962860976e+20,331776.0,2e+17,8.274311927495621e+16,325,325
19.0,1.4682616862383278,5.660835034977479e+17,10251.990632318504,7.137252628824689e+18,1.4955909628609757e+20,350208.0,2e+17,8.691568808220664e+16,325,325
20.0,1.4681790693759424,5.660835034977479e+17,10791.569086651058,7.137252628824658e+18,1.4955909628609754e+20,368640.0,2e+17,9.104653120138458e+16,325,325
21.0,1.4680972786821813,5.660835034977479e+17,11331.147540983611,7.137252628824627e+18,1.495590962860975e+20,387072.0,2e+17,9.513606588937074e+16,325,325
22.0,1.4680163058953573,5.660835034977479e+17,11870.725995316165,7.137252628824596e+18,1.4955909628609747e+20,405504.0,2e+17,9.918470523047702e+16,325,325
23.0,1.4679361428364015,5.660835034977479e+17,12410.304449648718,7.137252628824566e+18,1.4955909628609744e+20,423936.0,2e+17,1.0319285817817226e+17,325,325
24.0,1.467856781408035,5.660835034977479e+17,12949.882903981272,7.137252628824535e+18,1.495590962860974e+20,442368.0,2e+17,1.0716092959639053e+17,325,325
25.0,1.4677782135939526,5.660835034977479e+17,13489.461358313825,7.137252628824504e+18,1.4955909628609738e+20,460800.0,2e+17,1.1108932030042662e+17,325,325
26.0,1.4677004314580109,5.660835034977479e+17,14029.039812646379,7.137252628824474e+18,1.4955909628609734e+20,479232.0,2e+17,1.1497842709742235e+17,325,325
27.0,1.4676234271434285,5.660835034977479e+17,14568.618266978932,7.137252628824443e+18,1.495590962860973e+20,497664.0,2e+17,1.1882864282644813e+17,325,325
28.0,1.467547192871992,5.660835034977479e+17,15108.196721311486,7.137252628824412e+18,1.4955909628609728e+20,516096.0,2e+17,1.2264035639818365e+17,325,325
29.0,1.46747172094327,5.660835034977479e+17,15647.77517564404,7.137252628824381e+18,1.4955909628609724e+20,534528.0,2e+17,1.2641395283420181e+17,325,325
30.0,1.467397003733835,5.660835034977479e+17,16187.353629976593,7.137252628824351e+18,1.495590962860972e+20,552960.0,2e+17,1.3014981330585979e+17,325,325
31.0,1.4673230336964944,5.660835034977479e+17,16726.932084309145,7.13725262882432e+18,1.4955909628609718e+20,571392.0,2e+17,1.338483151728012e+17,325,325
32.0,1.467249803359527,5.660835034977479e+17,17266.510538641698,7.137252628824289e+18,1.4955909628609715e+20,589824.0,2e+17,1.3750983202107318e+17,325,325
