time,k_eff,phi_avg,burnup_avg,U235,U238,Pu239,Xe135,Sm149,fresh_pebbles_added,pebbles_discharged
0.0,0.9865716876410099,1.0639926623347855e+19,0.0,1.5860499856749677e+19,1.4094519830683012e+20,0.0,0.0,0.0,0,0
1.0,1.4849000000000026,1.0639926623347855e+19,10141.785447242175,1.5860499856749642e+19,1.409451983068301e+20,20889.6,1e+17,5000000000000000.0,325,325
2.0,1.4773010000000013,1.0639926623347855e+19,20283.57089448435,1.5860499856749607e+19,1.4094519830683009e+20,41779.2,1.5e+17,9950000000000000.0,325,325
3.0,1.4734529900000004,1.0639926623347855e+19,30425.356341726525,1.5860499856749572e+19,1.4094519830683007e+20,62668.799999999996,1.75e+17,1.48505e+16,325,325
4.0,1.4714809600999998,1.0639926623347855e+19,40567.1417889687,1.5860499856749537e+19,1.4094519830683006e+20,83558.4,1.875e+17,1.9701995e+16,325,325
5.0,1.4695099004989987,1.0639926623347855e+19,50708.927236210875,1.5860499856749502e+19,1.4094519830683004e+20,104448.0,2e+17,2.450497505e+16,325,325
6.0,1.4694148014940078,1.0639926623347855e+19,60850.71268345305,1.5860499856749468e+19,1.4094519830683002e+20,125337.6,2e+17,2.92599252995e+16,325,325
7.0,1.4693206534790668,1.0639926623347855e+19,70992.49813069522,1.5860499856749433e+19,1.4094519830683001e+20,146227.2,2e+17,3.3967326046505e+16,325,325
8.0,1.469227446944275,1.0639926623347855e+19,81134.2835779374,1.5860499856749398e+19,1.4094519830683e+20,167116.80000000002,2e+17,3.862765278603995e+16,325,325
9.0,1.4691351724748316,1.0639926623347855e+19,91276.06902517957,1.5860499856749363e+19,1.4094519830682998e+20,188006.40000000002,2e+17,4.324137625817955e+16,325,325
10.0,1.469043820750082,1.0639926623347855e+19,101417.85447242175,1.5860499856749328e+19,1.4094519830682996e+20,208896.00000000003,2e+17,4.780896249559776e+16,325,325
11.0,1.4689533825425802,1.0639926623347855e+19,111559.63991966392,1.5860499856749294e+19,1.4094519830682994e+20,229785.60000000003,2e+17,5.2330872870641784e+16,325,325
12.0,1.4688638487171535,1.0639926623347855e+19,121701.4253669061,1.5860499856749259e+19,1.4094519830682993e+20,250675.20000000004,2e+17,5.680756414193537e+16,325,325
13.0,1.468775210229981,1.0639926623347855e+19,131843.21081414827,1.5860499856749224e+19,1.4094519830682991e+20,271564.80000000005,2e+17,6.123948850051602e+16,325,325
14.0,1.46868745812768,1.0639926623347855e+19,141984.99626139045,1.586049985674919e+19,1.409451983068299e+20,292454.4,2e+17,6.5627093615510856e+16,325,325
