time,k_eff,phi_avg,burnup_avg,U235,U238,Pu239,Xe135,Sm149,fresh_pebbles_added,pebbles_discharged
0.0,0.9932887683369975,1.8817180171670298e+18,0.0,8.723308768564223e+18,1.479930324506417e+20,0.0,0.0,0.0,0,0
1.0,1.4849000000000032,1.8817180171670298e+18,1793.6125905791228,8.723308768564198e+18,1.479930324506417e+20,14745.599999999999,1e+17,5000000000000000.0,325,325
2.0,1.4773010000000018,1.8817180171670298e+18,3587.2251811582455,8.723308768564174e+18,1.479930324506417e+20,29491.199999999997,1.5e+17,9950000000000000.0,325,325
3.0,1.4734529900000006,1.8817180171670298e+18,5380.837771737368,8.723308768564149e+18,1.479930324506417e+20,44236.799999999996,1.75e+17,1.48505e+16,325,325
4.0,1.4714809600999996,1.8817180171670298e+18,7174.450362316491,8.723308768564125e+18,1.479930324506417e+20,58982.399999999994,1.875e+17,1.9701995e+16,325,325
5.0,1.4695099004989984,1.8817180171670298e+18,8968.062952895614,8.7233087685641e+18,1.479930324506417e+20,73728.0,2e+17,2.450497505e+16,325,325
6.0,1.4694148014940072,1.8817180171670298e+18,10761.675543474737,8.723308768564076e+18,1.479930324506417e+20,88473.6,2e+17,2.92599252995e+16,325,325
7.0,1.469320653479066,1.8817180171670298e+18,12555.28813405386,8.723308768564051e+18,1.479930324506417e+20,103219.20000000001,2e+17,3.3967326046505e+16,325,325
8.0,1.4692274469442739,1.8817180171670298e+18,14348.900724632984,8.723308768564026e+18,1.479930324506417e+20,117964.80000000002,2e+17,3.862765278603995e+16,325,325
9.0,1.46913517247483,1.8817180171670298e+18,16142.513315212107,8.723308768564002e+18,1.479930324506417e+20,132710.40000000002,2e+17,4.324137625817955e+16,325,325
10.0,1.4690438207500804,1.8817180171670298e+18,17936.12590579123,8.723308768563977e+18,1.479930324506417e+20,147456.00000000003,2e+17,4.780896249559776e+16,325,325
11.0,1.4689533825425785,1.8817180171670298e+18,19729.73849637035,8.723308768563953e+18,1.479930324506417e+20,162201.60000000003,2e+17,5.2330872870641784e+16,325,325
12.0,1.4688638487171513,1.8817180171670298e+18,21523.351086949475,8.723308768563928e+18,1.479930324506417e+20,176947.20000000004,2e+17,5.680756414193537e+16,325,325
13.0,1.4687752102299783,1.8817180171670298e+18,23316.963677528598,8.723308768563903e+18,1.479930324506417e+20,191692.80000000005,2e+17,6.123948850051602e+16,325,325
14.0,1.4686874581276774,1.8817180171670298e+18,25110.57626810772,8.723308768563879e+18,1.479930324506417e+20,206438.40000000005,2e+17,6.5627093615510856e+16,325,325
15.0,1.4686005835463996,1.8817180171670298e+18,26904.188858686844,8.723308768563854e+18,1.479930324506417e+20,221184.00000000006,2e+17,6.997082267935574e+16,325,325
16.0,1.4685145777109339,1.8817180171670298e+18,28697.801449265968,8.72330876856383e+18,1.479930324506417e+20,235929.60000000006,2e+17,7.427111445256219e+16,325,325
17.0,1.4684294319338236,1.8817180171670298e+18,30491.41403984509,8.723308768563805e+18,1.479930324506417e+20,250675.20000000007,2e+17,7.852840330803658e+16,325,325
18.0,1.468345137614484,1.8817180171670298e+18,32285.026630424214,8.723308768563781e+18,1.479930324506417e+20,265420.80000000005,2e+17,8.274311927495621e+16,325,325
19.0,1.4682616862383373,1.8817180171670298e+18,34078.63922100334,8.723308768563756e+18,1.479930324506417e+20,280166.4,2e+17,8.691568808220664e+16,325,325
20.0,1.4681790693759527,1.8817180171670298e+18,35872.25181158246,8.723308768563731e+18,1.479930324506417e+20,294912.0,2e+17,9.104653120138458e+16,325,325
21.0,1.468097278682192,1.8817180171670298e+18,37665.86440216158,8.723308768563707e+18,1.479930324506417e+20,309657.6,2e+17,9.513606588937074e+16,325,325
22.0,1.4680163058953684,1.8817180171670298e+18,39459.476992740696,8.723308768563682e+18,1.479930324506417e+20,324403.19999999995,2e+17,9.918470523047702e+16,325,325
23.0,1.4679361428364137,1.8817180171670298e+18,41253.089583319816,8.723308768563658e+18,1.479930324506417e+20,339148.79999999993,2e+17,1.0319285817817226e+17,325,325
24.0,1.4678567814080479,1.8817180171670298e+18,43046.702173898935,8.723308768563633e+18,1.479930324506417e+20,353894.3999999999,2e+17,1.0716092959639053e+17,325,325
25.0,1.467778213593966,1.8817180171670298e+18,44840.314764478055,8.723308768563609e+18,1.479930324506417e+20,368639.9999999999,2e+17,1.1108932030042662e+17,325,325
26.0,1.4677004314580249,1.8817180171670298e+18,46633.927355057174,8.723308768563584e+18,1.479930324506417e+20,383385.59999999986,2e+17,1.1497842709742235e+17,325,325
27.0,1.4676234271434432,1.8817180171670298e+18,48427.539945636294,8.723308768563559e+18,1.479930324506417e+20,398131.19999999984,2e+17,1.1882864282644813e+17,325,325
28.0,1.4675471928720074,1.8817180171670298e+18,50221.15253621541,8.723308768563535e+18,1.479930324506417e+20,412876.7999999998,2e+17,1.2264035639818365e+17,325,325
29.0,1.4674717209432857,1.8817180171670298e+18,52014.76512679453,8.72330876856351e+18,1.479930324506417e+20,427622.3999999998,2e+17,1.2641395283420181e+17,325,325
30.0,1.4673970037338515,1.8817180171670298e+18,53808.37771737365,8.723308768563486e+18,1.479930324506417e+20,442367.99999999977,2e+17,1.3014981330585979e+17,325,325
31.0,1.4673230336965115,1.8817180171670298e+18,55601.99030795277,8.723308768563461e+18,1.479930324506417e+20,457113.59999999974,2e+17,1.338483151728012e+17,325,325
32.0,1.4672498033595447,1.8817180171670298e+18,57395.60289853189,8.723308768563437e+18,1.479930324506417e+20,471859.1999999997,2e+17,1.3750983202107318e+17,325,325
33.0,1.4671773053259478,1.8817180171670298e+18,59189.21548911101,8.723308768563412e+18,1.479930324506417e+20,486604.7999999997,2e+17,1.4113473370086245e+17,325,325
34.0,1.467105532272687,1.8817180171670298e+18,60982.82807969013,8.723308768563387e+18,1.479930324506417e+20,501350.3999999997,2e+17,1.4472338636385382e+17,325,325
35.0,1.4670344769499586,1.8817180171670298e+18,62776.44067026925,8.723308768563363e+18,1.479930324506417e+20,516095.99999999965,2e+17,1.482761525002153e+17,325,325
36.0,1.4669641321804574,1.8817180171670298e+18,64570.05326084837,8.723308768563338e+18,1.479930324506417e+20,530841.5999999996,2e+17,1.5179339097521315e+17,325,325
37.0,1.466894490858651,1.8817180171670298e+18,66363.66585142749,8.723308768563314e+18,1.479930324506417e+20,545587.1999999996,2e+17,1.5527545706546102e+17,325,325
38.0,1.4668255459500632,1.8817180171670298e+18,68157.27844200662,8.723308768563289e+18,1.479930324506417e+20,560332.7999999996,2e+17,1.587227024948064e+17,325,325
39.0,1.4667572904905608,1.8817180171670298e+18,69950.89103258574,8.723308768563265e+18,1.479930324506417e+20,575078.3999999996,2e+17,1.6213547546985834e+17,325,325
40.0,1.4666897175856537,1.8817180171670298e+18,71744.50362316487,8.72330876856324e+18,1.479930324506417e+20,589823.9999999995,2e+17,1.6551412071515974e+17,325,325
41.0,1.4666228204097955,1.8817180171670298e+18,73538.116213744,8.723308768563215e+18,1.479930324506417e+20,604569.5999999995,2e+17,1.6885897950800816e+17,325,325
42.0,1.466556592205696,1.8817180171670298e+18,75331.72880432312,8.723308768563191e+18,1.479930324506417e+20,619315.1999999995,2e+17,1.7217038971292806e+17,325,325
