time,k_eff,phi_avg,burnup_avg,U235,U238,Pu239,Xe135,Sm149,fresh_pebbles_added,pebbles_discharged
0.0,0.9897324138018512,3.019112018654656e+18,0.0,7.137252628825274e+18,1.495590962860982e+20,0.0,0.0,0.0,0,0
1.0,1.4849000000000048,3.019112018654656e+18,2877.7517564402815,7.137252628825244e+18,1.4955909628609816e+20,18432.0,1e+17,5000000000000000.0,325,325
2.0,1.4773010000000029,3.019112018654656e+18,5755.503512880563,7.137252628825213e+18,1.4955909628609813e+20,36864.0,1.5e+17,9950000000000000.0,325,325
3.0,1.473452990000001,3.019112018654656e+18,8633.255269320845,7.137252628825182e+18,1.495590962860981e+20,55296.0,1.75e+17,1.48505e+16,325,325
4.0,1.4714809600999994,3.019112018654656e+18,11511.007025761126,7.137252628825151e+18,1.4955909628609806e+20,73728.0,1.875e+17,1.9701995e+16,325,325
5.0,1.4695099004989975,3.019112018654656e+18,14388.758782201407,7.137252628825121e+18,1.4955909628609803e+20,92160.0,2e+17,2.450497505e+16,325,325
6.0,1.4694148014940056,3.019112018654656e+18,17266.510538641687,7.13725262882509e+18,1.49559096286098e+20,110592.0,2e+17,2.92599252995e+16,325,325
7.0,1.4693206534790637,3.019112018654656e+18,20144.262295081968,7.137252628825059e+18,1.4955909628609797e+20,129024.0,2e+17,3.3967326046505e+16,325,325
8.0,1.4692274469442712,3.019112018654656e+18,23022.01405152225,7.137252628825029e+18,1.4955909628609793e+20,147456.0,2e+17,3.862765278603995e+16,325,325
9.0,1.4691351724748267,3.019112018654656e+18,25899.76580796253,7.137252628824998e+18,1.495590962860979e+20,165888.0,2e+17,4.324137625817955e+16,325,325
10.0,1.4690438207500762,3.019112018654656e+18,28777.51756440281,7.137252628824967e+18,1.4955909628609787e+20,184320.0,2e+17,4.780896249559776e+16,325,325
11.0,1.4689533825425736,3.019112018654656e+18,31655.26932084309,7.137252628824936e+18,1.4955909628609783e+20,202752.0,2e+17,5.2330872870641784e+16,325,325
12.0,1.468863848717146,3.019112018654656e+18,34533.021077283374,7.137252628824906e+18,1.495590962860978e+20,221184.0,2e+17,5.680756414193537e+16,325,325
13.0,1.4687752102299725,3.019112018654656e+18,37410.772833723655,7.137252628824875e+18,1.4955909628609777e+20,239616.0,2e+17,6.123948850051602e+16,325,325
14.0,1.468687458127671,3.019112018654656e+18,40288.524590163935,7.137252628824844e+18,1.4955909628609774e+20,258048.0,2e+17,6.5627093615510856e+16,325,325
15.0,1.4686005835463922,3.019112018654656e+18,43166.276346604216,7.137252628824814e+18,1.495590962860977e+20,276480.0,2e+17,6.997082267935574e+16,325,325
16.0,1.4685145777109263,3.019112018654656e+18,46044.0281030445,7.137252628824783e+18,1.4955909628609767e+20,294912.0,2e+17,7.427111445256219e+16,325,325
17.0,1.4684294319338151,3.019112018654656e+18,48921.77985948478,7.137252628824752e+18,1.4955909628609764e+20,313344.0,2e+17,7.852840330803658e+16,325,325
18.0,1.468345137614475,3.019112018654656e+18,51799.53161592506,7.137252628824721e+18,1.495590962860976e+20,331776.0,2e+17,8.274311927495621e+16,325,325
19.0,1.4682616862383278,3.019112018654656e+18,54677.28337236534,7.137252628824691e+18,1.4955909628609757e+20,350208.0,2e+17,8.691568808220664e+16,325,325
20.0,1.4681790693759424,3.019112018654656e+18,57555.03512880562,7.13725262882466e+18,1.4955909628609754e+20,368640.0,2e+17,9.104653120138458e+16,325,325
21.0,1.4680972786821813,3.019112018654656e+18,60432.7868852459,7.137252628824629e+18,1.495590962860975e+20,387072.0,2e+17,9.513606588937074e+16,325,325
22.0,1.4680163058953573,3.019112018654656e+18,63310.53864168618,7.137252628824599e+18,1.4955909628609747e+20,405504.0,2e+17,9.918470523047702e+16,325,325
23.0,1.4679361428364015,3.019112018654656e+18,66188.29039812647,7.137252628824568e+18,1.4955909628609744e+20,423936.0,2e+17,1.0319285817817226e+17,325,325
24.0,1.467856781408035,3.019112018654656e+18,69066.04215456675,7.137252628824537e+18,1.495590962860974e+20,442368.0,2e+17,1.0716092959639053e+17,325,325
25.0,1.4677782135939526,3.019112018654656e+18,71943.79391100703,7.137252628824506e+18,1.4955909628609738e+20,460800.0,2e+17,1.1108932030042662e+17,325,325
26.0,1.4677004314580109,3.019112018654656e+18,74821.54566744731,7.137252628824476e+18,1.4955909628609734e+20,479232.0,2e+17,1.1497842709742235e+17,325,325
27.0,1.4676234271434285,3.019112018654656e+18,77699.29742388759,7.137252628824445e+18,1.495590962860973e+20,497664.0,2e+17,1.1882864282644813e+17,325,325
28.0,1.467547192871992,3.019112018654656e+18,80577.04918032787,7.137252628824414e+18,1.4955909628609728e+20,516096.0,2e+17,1.2264035639818365e+17,325,325
29.0,1.46747172094327,3.019112018654656e+18,83454.80093676815,7.137252628824383e+18,1.4955909628609724e+20,534528.0,2e+17,1.2641395283420181e+17,325,325
30.0,1.467397003733835,3.019112018654656e+18,86332.55269320843,7.137252628824353e+18,1.495590962860972e+20,552960.0,2e+17,1.3014981330585979e+17,325,325
31.0,1.4673230336964944,3.019112018654656e+18,89210.30444964871,7.137252628824322e+18,1.4955909628609718e+20,571392.0,2e+17,1.338483151728012e+17,325,325
32.0,1.467249803359527,3.019112018654656e+18,92088.056206089,7.137252628824291e+18,1.4955909628609715e+20,589824.0,2e+17,1.3750983202107318e+17,325,325
33.0,1.4671773053259294,3.019112018654656e+18,94965.80796252927,7.137252628824261e+18,1.495590962860971e+20,608256.0,2e+17,1.4113473370086245e+17,325,325
