time,k_eff,phi_avg,burnup_avg,U235,U238,Pu239,Xe135,Sm149,fresh_pebbles_added,pebbles_discharged
0.0,0.9970356389212206,1.41520875874437e+18,0.0,1.5860561397389492e+19,1.4094574519108733e+20,0.0,0.0,0.0,0,0
1.0,1.4849000000000026,1.41520875874437e+18,1348.9461358313818,1.5860561397389457e+19,1.4094574519108731e+20,20889.6,1e+17,5000000000000000.0,325,325
2.0,1.4773010000000013,1.41520875874437e+18,2697.8922716627635,1.5860561397389423e+19,1.409457451910873e+20,41779.2,1.5e+17,9950000000000000.0,325,325
3.0,1.4734529900000004,1.41520875874437e+18,4046.838407494145,1.5860561397389388e+19,1.4094574519108728e+20,62668.799999999996,1.75e+17,1.48505e+16,325,325
4.0,1.4714809600999998,1.41520875874437e+18,5395.784543325527,1.5860561397389353e+19,1.4094574519108726e+20,83558.4,1.875e+17,1.9701995e+16,325,325
5.0,1.4695099004989987,1.41520875874437e+18,6744.730679156909,1.5860561397389318e+19,1.4094574519108724e+20,104448.0,2e+17,2.450497505e+16,325,325
6.0,1.4694148014940078,1.41520875874437e+18,8093.676814988291,1.5860561397389283e+19,1.4094574519108723e+20,125337.6,2e+17,2.92599252995e+16,325,325
7.0,1.4693206534790668,1.41520875874437e+18,9442.622950819672,1.5860561397389249e+19,1.4094574519108721e+20,146227.2,2e+17,3.3967326046505e+16,325,325
8.0,1.469227446944275,1.41520875874437e+18,10791.569086651054,1.5860561397389214e+19,1.409457451910872e+20,167116.80000000002,2e+17,3.862765278603995e+16,325,325
9.0,1.4691351724748316,1.41520875874437e+18,12140.515222482436,1.5860561397389179e+19,1.4094574519108718e+20,188006.40000000002,2e+17,4.324137625817955e+16,325,325
10.0,1.469043820750082,1.41520875874437e+18,13489.461358313818,1.5860561397389144e+19,1.4094574519108716e+20,208896.00000000003,2e+17,4.780896249559776e+16,325,325
11.0,1.4689533825425802,1.41520875874437e+18,14838.4074941452,1.586056139738911e+19,1.4094574519108714e+20,229785.60000000003,2e+17,5.2330872870641784e+16,325,325
12.0,1.4688638487171535,1.41520875874437e+18,16187.353629976582,1.5860561397389074e+19,1.4094574519108713e+20,250675.20000000004,2e+17,5.680756414193537e+16,325,325
13.0,1.468775210229981,1.41520875874437e+18,17536.299765807962,1.586056139738904e+19,1.4094574519108711e+20,271564.80000000005,2e+17,6.123948850051602e+16,325,325
14.0,1.46868745812768,1.41520875874437e+18,18885.245901639344,1.5860561397389005e+19,1.409457451910871e+20,292454.4,2e+17,6.5627093615510856e+16,325,325
15.0,1.4686005835464022,1.41520875874437e+18,20234.192037470726,1.586056139738897e+19,1.4094574519108708e+20,313344.0,2e+17,6.997082267935574e+16,325,325
16.0,1.4685145777109372,1.41520875874437e+18,21583.138173302108,1.5860561397388935e+19,1.4094574519108706e+20,334233.6,2e+17,7.427111445256219e+16,325,325
17.0,1.4684294319338271,1.41520875874437e+18,22932.08430913349,1.58605613973889e+19,1.4094574519108705e+20,355123.19999999995,2e+17,7.852840330803658e+16,325,325
18.0,1.4683451376144876,1.41520875874437e+18,24281.030444964872,1.5860561397388866e+19,1.4094574519108703e+20,376012.79999999993,2e+17,8.274311927495621e+16,325,325
19.0,1.4682616862383415,1.41520875874437e+18,25629.976580796254,1.586056139738883e+19,1.4094574519108701e+20,396902.3999999999,2e+17,8.691568808220664e+16,325,325
20.0,1.468179069375957,1.41520875874437e+18,26978.922716627636,1.5860561397388796e+19,1.40945745191087e+20,417791.9999999999,2e+17,9.104653120138458e+16,325,325
21.0,1.4680972786821966,1.41520875874437e+18,28327.868852459018,1.5860561397388761e+19,1.4094574519108698e+20,438681.59999999986,2e+17,9.513606588937074e+16,325,325
22.0,1.4680163058953735,1.41520875874437e+18,29676.8149882904,1.5860561397388726e+19,1.4094574519108696e+20,459571.19999999984,2e+17,9.918470523047702e+16,325,325
23.0,1.4679361428364188,1.41520875874437e+18,31025.761124121782,1.5860561397388691e+19,1.4094574519108695e+20,480460.7999999998,2e+17,1.0319285817817226e+17,325,325
24.0,1.4678567814080532,1.41520875874437e+18,32374.707259953164,1.5860561397388657e+19,1.4094574519108693e+20,501350.3999999998,2e+17,1.0716092959639053e+17,325,325
25.0,1.4677782135939716,1.41520875874437e+18,33723.653395784546,1.5860561397388622e+19,1.4094574519108692e+20,522239.99999999977,2e+17,1.1108932030042662e+17,325,325
26.0,1.467700431458031,1.41520875874437e+18,35072.599531615924,1.5860561397388587e+19,1.409457451910869e+20,543129.5999999997,2e+17,1.1497842709742235e+17,325,325
27.0,1.4676234271434492,1.41520875874437e+18,36421.5456674473,1.5860561397388552e+19,1.4094574519108688e+20,564019.1999999997,2e+17,1.1882864282644813e+17,325,325
28.0,1.4675471928720139,1.41520875874437e+18,37770.49180327868,1.5860561397388517e+19,1.4094574519108687e+20,584908.7999999997,2e+17,1.2264035639818365e+17,325,325
29.0,1.4674717209432924,1.41520875874437e+18,39119.43793911006,1.5860561397388483e+19,1.4094574519108685e+20,605798.3999999997,2e+17,1.2641395283420181e+17,325,325
30.0,1.4673970037338584,1.41520875874437e+18,40468.38407494144,1.5860561397388448e+19,1.4094574519108683e+20,626687.9999999997,2e+17,1.3014981330585979e+17,325,325
31.0,1.4673230336965186,1.41520875874437e+18,41817.330210772816,1.5860561397388413e+19,1.4094574519108682e+20,647577.5999999996,2e+17,1.338483151728012e+17,325,325
32.0,1.4672498033595522,1.41520875874437e+18,43166.276346604194,1.5860561397388378e+19,1.409457451910868e+20,668467.1999999996,2e+17,1.3750983202107318e+17,325,325
33.0,1.4671773053259554,1.41520875874437e+18,44515.22248243557,1.5860561397388343e+19,1.4094574519108678e+20,689356.7999999996,2e+17,1.4113473370086245e+17,325,325
34.0,1.467105532272695,1.41520875874437e+18,45864.16861826695,1.5860561397388308e+19,1.4094574519108677e+20,710246.3999999996,2e+17,1.4472338636385382e+17,325,325
35.0,1.4670344769499668,1.41520875874437e+18,47213.11475409833,1.5860561397388274e+19,1.4094574519108675e+20,731135.9999999995,2e+17,1.482761525002153e+17,325,325
36.0,1.4669641321804658,1.41520875874437e+18,48562.06088992971,1.5860561397388239e+19,1.4094574519108674e+20,752025.5999999995,2e+17,1.5179339097521315e+17,325,325
37.0,1.4668944908586599,1.41520875874437e+18,49911.007025761086,1.5860561397388204e+19,1.4094574519108672e+20,772915.1999999995,2e+17,1.5527545706546102e+17,325,325
38.0,1.466825545950072,1.41520875874437e+18,51259.953161592464,1.586056139738817e+19,1.409457451910867e+20,793804.7999999995,2e+17,1.587227024948064e+17,325,325
39.0,1.4667572904905701,1.41520875874437e+18,52608.89929742384,1.5860561397388134e+19,1.4094574519108669e+20,814694.3999999994,2e+17,1.6213547546985834e+17,325,325
40.0,1.4666897175856632,1.41520875874437e+18,53957.84543325522,1.58605613973881e+19,1.4094574519108667e+20,835583.9999999994,2e+17,1.6551412071515974e+17,325,325
41.0,1.4666228204098053,1.41520875874437e+18,55306.7915690866,1.5860561397388065e+19,1.4094574519108665e+20,856473.5999999994,2e+17,1.6885897950800816e+17,325,325
42.0,1.4665565922057058,1.41520875874437e+18,56655.73770491798,1.586056139738803e+19,1.4094574519108664e+20,877363.1999999994,2e+17,1.7217038971292806e+17,325,325
43.0,1.466491026283648,1.41520875874437e+18,58004.683840749356,1.5860561397387995e+19,1.4094574519108662e+20,898252.7999999993,2e+17,1.754486858157988e+17,325,325
44.0,1.4664261160208099,1.41520875874437e+18,59353.629976580734,1.586056139738796e+19,1.409457451910866e+20,919142.3999999993,2e+17,1.786941989576408e+17,325,325
45.0,1.4663618548606006,1.41520875874437e+18,60702.57611241211,1.5860561397387926e+19,1.4094574519108659e+20,940031.9999999993,2e+17,1.819072569680644e+17,325,325
46.0,1.466298236311993,1.41520875874437e+18,62051.52224824349,1.586056139738789e+19,1.4094574519108657e+20,960921.5999999993,2e+17,1.8508818439838374e+17,325,325
