time,k_eff,phi_avg,burnup_avg,U235,U238,Pu239,Xe135,Sm149,fresh_pebbles_added,pebbles_discharged
0.0,0.981905171302986,4.210538455768374e+18,0.0,7.137242959061516e+18,1.4955889365895247e+20,0.0,0.0,0.0,0,0
1.0,1.4849000000000048,4.210538455768374e+18,4013.398899450771,7.137242959061486e+18,1.4955889365895243e+20,18432.0,1e+17,5000000000000000.0,325,325
2.0,1.4773010000000029,4.210538455768374e+18,8026.797798901542,7.137242959061455e+18,1.495588936589524e+20,36864.0,1.5e+17,9950000000000000.0,325,325
3.0,1.473452990000001,4.210538455768374e+18,12040.196698352313,7.137242959061424e+18,1.4955889365895237e+20,55296.0,1.75e+17,1.48505e+16,325,325
4.0,1.4714809600999994,4.210538455768374e+18,16053.595597803083,7.137242959061393e+18,1.4955889365895234e+20,73728.0,1.875e+17,1.9701995e+16,325,325
5.0,1.4695099004989975,4.210538455768374e+18,20066.994497253854,7.137242959061363e+18,1.495588936589523e+20,92160.0,2e+17,2.450497505e+16,325,325
6.0,1.4694148014940056,4.210538455768374e+18,24080.393396704625,7.137242959061332e+18,1.4955889365895227e+20,110592.0,2e+17,2.92599252995e+16,325,325
7.0,1.4693206534790637,4.210538455768374e+18,28093.792296155396,7.137242959061301e+18,1.4955889365895224e+20,129024.0,2e+17,3.3967326046505e+16,325,325
8.0,1.4692274469442712,4.210538455768374e+18,32107.191195606167,7.137242959061271e+18,1.495588936589522e+20,147456.0,2e+17,3.862765278603995e+16,325,325
9.0,1.4691351724748267,4.210538455768374e+18,36120.590095056934,7.13724295906124e+18,1.4955889365895217e+20,165888.0,2e+17,4.324137625817955e+16,325,325
10.0,1.4690438207500762,4.210538455768374e+18,40133.9889945077,7.137242959061209e+18,1.4955889365895214e+20,184320.0,2e+17,4.780896249559776e+16,325,325
11.0,1.4689533825425736,4.210538455768374e+18,44147.38789395847,7.137242959061178e+18,1.495588936589521e+20,202752.0,2e+17,5.2330872870641784e+16,325,325
12.0,1.468863848717146,4.210538455768374e+18,48160.786793409236,7.137242959061148e+18,1.4955889365895207e+20,221184.0,2e+17,5.680756414193537e+16,325,325
13.0,1.4687752102299725,4.210538455768374e+18,52174.18569286,7.137242959061117e+18,1.4955889365895204e+20,239616.0,2e+17,6.123948850051602e+16,325,325
14.0,1.468687458127671,4.210538455768374e+18,56187.58459231077,7.137242959061086e+18,1.49558893658952e+20,258048.0,2e+17,6.5627093615510856e+16,325,325
15.0,1.4686005835463922,4.210538455768374e+18,60200.98349176154,7.137242959061055e+18,1.4955889365895197e+20,276480.0,2e+17,6.997082267935574e+16,325,325
16.0,1.4685145777109263,4.210538455768374e+18,64214.382391212304,7.137242959061025e+18,1.4955889365895194e+20,294912.0,2e+17,7.427111445256219e+16,325,325
17.0,1.4684294319338151,4.210538455768374e+18,68227.78129066307,7.137242959060994e+18,1.495588936589519e+20,313344.0,2e+17,7.852840330803658e+16,325,325
18.0,1.468345137614475,4.210538455768374e+18,72241.18019011384,7.137242959060963e+18,1.4955889365895188e+20,331776.0,2e+17,8.274311927495621e+16,325,325
19.0,1.4682616862383278,4.210538455768374e+18,76254.5790895646,7.137242959060933e+18,1.4955889365895184e+20,350208.0,2e+17,8.691568808220664e+16,325,325
20.0,1.4681790693759424,4.210538455768374e+18,80267.97798901537,7.137242959060902e+18,1.495588936589518e+20,368640.0,2e+17,9.104653120138458e+16,325,325
21.0,1.4680972786821813,4.210538455768374e+18,84281.37688846614,7.137242959060871e+18,1.4955889365895178e+20,387072.0,2e+17,9.513606588937074e+16,325,325
22.0,1.4680163058953573,4.210538455768374e+18,88294.77578791691,7.13724295906084e+18,1.4955889365895175e+20,405504.0,2e+17,9.918470523047702e+16,325,325
23.0,1.4679361428364015,4.210538455768374e+18,92308.17468736767,7.13724295906081e+18,1.495588936589517e+20,423936.0,2e+17,1.0319285817817226e+17,325,325
24.0,1.467856781408035,4.210538455768374e+18,96321.57358681844,7.137242959060779e+18,1.4955889365895168e+20,442368.0,2e+17,1.0716092959639053e+17,325,325
25.0,1.4677782135939526,4.210538455768374e+18,100334.97248626921,7.137242959060748e+18,1.4955889365895165e+20,460800.0,2e+17,1.1108932030042662e+17,325,325
26.0,1.4677004314580109,4.210538455768374e+18,104348.37138571998,7.137242959060718e+18,1.495588936589516e+20,479232.0,2e+17,1.1497842709742235e+17,325,325
27.0,1.4676234271434285,4.210538455768374e+18,108361.77028517074,7.137242959060687e+18,1.4955889365895158e+20,497664.0,2e+17,1.1882864282644813e+17,325,325
