time,k_eff,phi_avg,burnup_avg,U235,U238,Pu239,Xe135,Sm149,fresh_pebbles_added,pebbles_discharged
0.0,0.9938103780454862,4.49536899836447e+18,0.0,1.5860558338457692e+19,1.4094571800772277e+20,0.0,0.0,0.0,0,0
1.0,1.4849000000000026,4.49536899836447e+18,4284.888551982914,1.5860558338457657e+19,1.4094571800772275e+20,20889.6,1e+17,5000000000000000.0,325,325
2.0,1.4773010000000013,4.49536899836447e+18,8569.777103965827,1.5860558338457623e+19,1.4094571800772274e+20,41779.2,1.5e+17,9950000000000000.0,325,325
3.0,1.4734529900000004,4.49536899836447e+18,12854.665655948742,1.5860558338457588e+19,1.4094571800772272e+20,62668.799999999996,1.75e+17,1.48505e+16,325,325
4.0,1.4714809600999998,4.49536899836447e+18,17139.554207931655,1.5860558338457553e+19,1.409457180077227e+20,83558.4,1.875e+17,1.9701995e+16,325,325
5.0,1.4695099004989987,4.49536899836447e+18,21424.442759914567,1.5860558338457518e+19,1.4094571800772269e+20,104448.0,2e+17,2.450497505e+16,325,325
6.0,1.4694148014940078,4.49536899836447e+18,25709.33131189748,1.5860558338457483e+19,1.4094571800772267e+20,125337.6,2e+17,2.92599252995e+16,325,325
7.0,1.4693206534790668,4.49536899836447e+18,29994.219863880393,1.5860558338457448e+19,1.4094571800772266e+20,146227.2,2e+17,3.3967326046505e+16,325,325
8.0,1.469227446944275,4.49536899836447e+18,34279.10841586331,1.5860558338457414e+19,1.4094571800772264e+20,167116.80000000002,2e+17,3.862765278603995e+16,325,325
9.0,1.4691351724748316,4.49536899836447e+18,38563.99696784622,1.5860558338457379e+19,1.4094571800772262e+20,188006.40000000002,2e+17,4.324137625817955e+16,325,325
10.0,1.469043820750082,4.49536899836447e+18,42848.885519829135,1.5860558338457344e+19,1.409457180077226e+20,208896.00000000003,2e+17,4.780896249559776e+16,325,325
11.0,1.4689533825425802,4.49536899836447e+18,47133.77407181205,1.586055833845731e+19,1.4094571800772259e+20,229785.60000000003,2e+17,5.2330872870641784e+16,325,325
12.0,1.4688638487171535,4.49536899836447e+18,51418.66262379496,1.5860558338457274e+19,1.4094571800772257e+20,250675.20000000004,2e+17,5.680756414193537e+16,325,325
13.0,1.468775210229981,4.49536899836447e+18,55703.55117577787,1.586055833845724e+19,1.4094571800772256e+20,271564.80000000005,2e+17,6.123948850051602e+16,325,325
14.0,1.46868745812768,4.49536899836447e+18,59988.439727760786,1.5860558338457205e+19,1.4094571800772254e+20,292454.4,2e+17,6.5627093615510856e+16,325,325
15.0,1.4686005835464022,4.49536899836447e+18,64273.3282797437,1.586055833845717e+19,1.4094571800772252e+20,313344.0,2e+17,6.997082267935574e+16,325,325
16.0,1.4685145777109372,4.49536899836447e+18,68558.21683172662,1.5860558338457135e+19,1.4094571800772251e+20,334233.6,2e+17,7.427111445256219e+16,325,325
17.0,1.4684294319338271,4.49536899836447e+18,72843.10538370954,1.58605583384571e+19,1.409457180077225e+20,355123.19999999995,2e+17,7.852840330803658e+16,325,325
18.0,1.4683451376144876,4.49536899836447e+18,77127.99393569246,1.5860558338457065e+19,1.4094571800772248e+20,376012.79999999993,2e+17,8.274311927495621e+16,325,325
19.0,1.4682616862383415,4.49536899836447e+18,81412.88248767538,1.586055833845703e+19,1.4094571800772246e+20,396902.3999999999,2e+17,8.691568808220664e+16,325,325
20.0,1.468179069375957,4.49536899836447e+18,85697.7710396583,1.5860558338456996e+19,1.4094571800772244e+20,417791.9999999999,2e+17,9.104653120138458e+16,325,325
21.0,1.4680972786821966,4.49536899836447e+18,89982.65959164122,1.586055833845696e+19,1.4094571800772243e+20,438681.59999999986,2e+17,9.513606588937074e+16,325,325
22.0,1.4680163058953735,4.49536899836447e+18,94267.54814362414,1.5860558338456926e+19,1.4094571800772241e+20,459571.19999999984,2e+17,9.918470523047702e+16,325,325
23.0,1.4679361428364188,4.49536899836447e+18,98552.43669560706,1.5860558338456891e+19,1.409457180077224e+20,480460.7999999998,2e+17,1.0319285817817226e+17,325,325
24.0,1.4678567814080532,4.49536899836447e+18,102837.32524758998,1.5860558338456857e+19,1.4094571800772238e+20,501350.3999999998,2e+17,1.0716092959639053e+17,325,325
25.0,1.4677782135939716,4.49536899836447e+18,107122.2137995729,1.5860558338456822e+19,1.4094571800772236e+20,522239.99999999977,2e+17,1.1108932030042662e+17,325,325
26.0,1.467700431458031,4.49536899836447e+18,111407.10235155582,1.5860558338456787e+19,1.4094571800772234e+20,543129.5999999997,2e+17,1.1497842709742235e+17,325,325
27.0,1.4676234271434492,4.49536899836447e+18,115691.99090353874,1.5860558338456752e+19,1.4094571800772233e+20,564019.1999999997,2e+17,1.1882864282644813e+17,325,325
28.0,1.4675471928720139,4.49536899836447e+18,119976.87945552166,1.5860558338456717e+19,1.4094571800772231e+20,584908.7999999997,2e+17,1.2264035639818365e+17,325,325
29.0,1.4674717209432924,4.49536899836447e+18,124261.76800750458,1.5860558338456682e+19,1.409457180077223e+20,605798.3999999997,2e+17,1.2641395283420181e+17,325,325
30.0,1.4673970037338584,4.49536899836447e+18,128546.6565594875,1.5860558338456648e+19,1.4094571800772228e+20,626687.9999999997,2e+17,1.3014981330585979e+17,325,325
31.0,1.4673230336965186,4.49536899836447e+18,132831.54511147042,1.5860558338456613e+19,1.4094571800772226e+20,647577.5999999996,2e+17,1.338483151728012e+17,325,325
