time,k_eff,phi_avg,burnup_avg,U235,U238,Pu239,Xe135,Sm149,fresh_pebbles_added,pebbles_discharged
0.0,0.9955907015288493,3.260640980147029e+18,0.0,1.586054475680049e+19,1.4094559731358419e+20,0.0,0.0,0.0,0,0
7.4,1.469900000000017,3.260640980147029e+18,22999.016167586047,1.5860544756800238e+19,1.4094559731358404e+20,151142.4,2e+17,5000000000000000.0,2405,2405
14.8,1.4698010000000106,3.260640980147029e+18,45998.032335172094,1.5860544756799986e+19,1.4094559731358389e+20,302284.8,2e+17,9950000000000000.0,2405,2405
22.200000000000003,1.469702990000004,3.260640980147029e+18,68997.04850275815,1.5860544756799734e+19,1.4094559731358374e+20,453427.19999999995,2e+17,1.48505e+16,2405,2405
29.6,1.469605960099997,3.260640980147029e+18,91996.06467034419,1.5860544756799482e+19,1.409455973135836e+20,604569.6,2e+17,1.9701995e+16,2405,2405
37.0,1.4695099004989904,3.260640980147029e+18,114995.08083793023,1.586054475679923e+19,1.4094559731358345e+20,755712.0,2e+17,2.450497505e+16,2405,2405
44.4,1.469414801493994,3.260640980147029e+18,137994.0970055163,1.5860544756798978e+19,1.409455973135833e+20,906854.4,2e+17,2.92599252995e+16,2405,2405
51.8,1.469320653479047,3.260640980147029e+18,160993.11317310235,1.5860544756798726e+19,1.4094559731358315e+20,1057996.8,2e+17,3.3967326046505e+16,2405,2405
59.199999999999996,1.4692274469442497,3.260640980147029e+18,183992.1293406884,1.5860544756798474e+19,1.40945597313583e+20,1209139.2,2e+17,3.862765278603995e+16,2405,2405
66.6,1.4691351724748003,3.260640980147029e+18,206991.14550827447,1.5860544756798222e+19,1.4094559731358286e+20,1360281.5999999999,2e+17,4.324137625817955e+16,2405,2405
74.0,1.4690438207500451,3.260640980147029e+18,229990.16167586052,1.586054475679797e+19,1.4094559731358271e+20,1511423.9999999998,2e+17,4.780896249559776e+16,2405,2405
81.4,1.4689533825425376,3.260640980147029e+18,252989.17784344658,1.5860544756797719e+19,1.4094559731358256e+20,1662566.3999999997,2e+17,5.2330872870641784e+16,2405,2405
88.80000000000001,1.468863848717105,3.260640980147029e+18,275988.19401103264,1.5860544756797467e+19,1.4094559731358242e+20,1813708.7999999996,2e+17,5.680756414193537e+16,2405,2405
96.20000000000002,1.4687752102299265,3.260640980147029e+18,298987.21017861867,1.5860544756797215e+19,1.4094559731358227e+20,1964851.1999999995,2e+17,6.123948850051602e+16,2405,2405
103.60000000000002,1.4599999999999305,3.260640980147029e+18,321986.2263462047,1.5860544756796963e+19,1.4094559731358212e+20,2115993.5999999996,2e+17,5e+17,2405,2405
111.00000000000003,1.4599999999999238,3.260640980147029e+18,344985.2425137907,1.586054475679671e+19,1.4094559731358197e+20,2267135.9999999995,2e+17,5e+17,2405,2405
118.40000000000003,1.459999999999917,3.260640980147029e+18,367984.25868137676,1.586054475679646e+19,1.4094559731358183e+20,2418278.3999999994,2e+17,5e+17,2405,2405
125.80000000000004,1.4599999999999103,3.260640980147029e+18,390983.2748489628,1.5860544756796207e+19,1.4094559731358168e+20,2569420.7999999993,2e+17,5e+17,2405,2405
133.20000000000005,1.4599999999999038,3.260640980147029e+18,413982.2910165488,1.5860544756795955e+19,1.4094559731358153e+20,2720563.1999999993,2e+17,5e+17,2405,2405
140.60000000000005,1.4599999999998972,3.260640980147029e+18,436981.30718413484,1.5860544756795703e+19,1.4094559731358138e+20,2871705.599999999,2e+17,5e+17,2405,2405
148.00000000000006,1.4599999999998905,3.260640980147029e+18,459980.3233517209,1.5860544756795451e+19,1.4094559731358124e+20,3022847.999999999,2e+17,5e+17,2405,2405
155.40000000000006,1.4599999999998836,3.260640980147029e+18,482979.3395193069,1.58605447567952e+19,1.4094559731358109e+20,3173990.399999999,2e+17,5e+17,2405,2405
162.80000000000007,1.4599999999998772,3.260640980147029e+18,505978.35568689293,1.5860544756794948e+19,1.4094559731358094e+20,3325132.799999999,2e+17,5e+17,2405,2405
170.20000000000007,1.4599999999998705,3.260640980147029e+18,528977.371854479,1.5860544756794696e+19,1.409455973135808e+20,3476275.199999999,2e+17,5e+17,2405,2405
177.60000000000008,1.4599999999998636,3.260640980147029e+18,551976.388022065,1.5860544756794444e+19,1.4094559731358065e+20,3627417.5999999987,2e+17,5e+17,2405,2405
185.00000000000009,1.459999999999857,3.260640980147029e+18,574975.4041896511,1.5860544756794192e+19,1.409455973135805e+20,3778559.9999999986,2e+17,5e+17,2405,2405
192.4000000000001,1.4599999999998505,3.260640980147029e+18,597974.4203572372,1.586054475679394e+19,1.4094559731358035e+20,3929702.3999999985,2e+17,5e+17,2405,2405
199.8000000000001,1.4599999999998439,3.260640980147029e+18,620973.4365248233,1.5860544756793688e+19,1.409455973135802e+20,4080844.7999999984,2e+17,5e+17,2405,2405
207.2000000000001,1.459999999999837,3.260640980147029e+18,643972.4526924094,1.5860544756793436e+19,1.4094559731358006e+20,4231987.199999998,2e+17,5e+17,2405,2405
214.6000000000001,1.4599999999998303,3.260640980147029e+18,666971.4688599955,1.5860544756793184e+19,1.4094559731357991e+20,4383129.599999999,2e+17,5e+17,2405,2405
222.0000000000001,1.4599999999998237,3.260640980147029e+18,689970.4850275816,1.5860544756792932e+19,1.4094559731357976e+20,4534271.999999999,2e+17,5e+17,2405,2405
229.40000000000012,1.459999999999817,3.260640980147029e+18,712969.5011951677,1.586054475679268e+19,1.4094559731357961e+20,4685414.399999999,2e+17,5e+17,2405,2405
